sentence_1;sentence_2;similarity_score
Human hygiene and beauty care;Eyebrow shaping services;1.0
Home construction services;Construction information;1.0
Home construction services;Construction of property;1.0
Telecommunication services;Photo uploading services;1.0
Telecommunication services;Video uploading services;1.0
Education and instruction;Organisation of seminars;1.0
Human healthcare services;Weight control treatment;1.0
Arranging of conferences;Organisation of seminars;1.0
Publishing and reporting;Publication of magazines;1.0
Electronic book readers;Communications equipment;1.0
Food and drink catering;Mobile catering services;1.0
Non-alcoholic beverages;Aperitifs, non-alcoholic;1.0
Non-alcoholic beverages;Concentrated fruit juice;1.0
Non-alcoholic beverages;Fruit juice concentrates;1.0
Serving food and drinks;Cocktail lounge services;1.0
Entertainment services;Film production services;1.0
Entertainment services;Production of live shows;1.0
Entertainment services;Television entertainment;1.0
Patent lawyer services;Legal mediation services;1.0
Crustaceans, not live;Spiny lobsters, not live;1.0
Edible oils and fats;Palm kernel oil for food;1.0
Home repair services;Maintenance of buildings;1.0
Industrial chemicals;Oils for tanning leather;1.0
Radiotelegraphy sets;Communications equipment;1.0
Frameworks of metal;Trestle columns of metal;1.0
Investment services;Fund investment services;1.0
Investment services;Stock brokerage services;1.0
Scooters [vehicles];Vehicles for use on land;1.0
Jackets [clothing];Stuff jackets [clothing];1.0
Lighting apparatus;Decorative lighting sets;1.0
Sweetmeats [candy];Fondants [confectionery];1.0
Sweetmeats [candy];Lozenges [confectionery];1.0
Animal foodstuffs;Edible chews for animals;1.0
Musical cassettes;Sound recording carriers;1.0
Finance services;Administration of trusts;1.0
Medical services;Teeth whitening services;1.0
Musk [perfumery];Perfumery and fragrances;1.0
Recorded content;Musical sound recordings;1.0
Amber [perfume];Perfumery and fragrances;1.0
Food for babies;Lacteal flour for babies;1.0
Eau de Cologne;Perfumery and fragrances;1.0
Lavender water;Perfumery and fragrances;1.0
Metal hardware;Pipes and tubes of metal;1.0
Pedal bicycles;Vehicles for use on land;1.0
Picture frames;Wooden picture mouldings;1.0
Printed matter;Educational publications;1.0
Printed matter;Promotional publications;1.0
Confectionery;Frozen dairy confections;1.0
Disinfectants;Sterilizing preparations;1.0
Ethereal oils;Essential oils of citron;1.0
Ethereal oils;Essential vegetable oils;1.0
Lighting fuel;Wood spills for lighting;1.0
Scented water;Perfumery and fragrances;1.0
Vehicle tires;Tyres for vehicle wheels;1.0
Chronometers;Chronometric instruments;1.0
Radio pagers;Communications equipment;1.0
Table covers;Table runners of textile;1.0
Toilet water;Perfumery and fragrances;1.0
Transponders;Communications equipment;1.0
Animal feed;Edible chews for animals;1.0
Fertilizers;Ameliorants for the soil;1.0
Fertilizers;Fertilizing preparations;1.0
Fertilizers;Growing media for plants;1.0
Fertilizers;Phosphates [fertilizers];1.0
Fungicides;Fungicidal fungal agents;1.0
Stationery;Index cards [stationery];1.0
Bed linen;Bed clothes and blankets;1.0
Cosmetics;After-shave preparations;1.0
Cosmetics;Age spot reducing creams;1.0
Cosmetics;Facial scrubs [cosmetic];1.0
Cosmetics;Facial washes [cosmetic];1.0
Cosmetics;Hair dyeing preparations;1.0
Cosmetics;Night creams [cosmetics];1.0
Cosmetics;Oils for toilet purposes;1.0
Cosmetics;Toning creams [cosmetic];1.0
Perfumery;Fragrancing preparations;1.0
Transport;Transportation logistics;1.0
Tricycles;Land locomotive vehicles;1.0
Tricycles;Vehicles for use on land;1.0
Bicycles;Land locomotive vehicles;1.0
Clothing;Leather belts [clothing];1.0
Clothing;Stuff jackets [clothing];1.0
Clothing;Waterproof outerclothing;1.0
Go-carts;Land locomotive vehicles;1.0
Go-carts;Vehicles for use on land;1.0
Perfumes;Perfumery and fragrances;1.0
Teaching;Arranging of conferences;1.0
Teaching;Organisation of seminars;1.0
Training;Legal education services;1.0
Vehicles;Passenger motor vehicles;1.0
Vehicles;Vehicles for use on land;1.0
Watches;Chronometric instruments;1.0
Clocks;Chronometric instruments;1.0
Juices;Concentrated fruit juice;1.0
Juices;Fruit juice concentrates;1.0
Modems;Communications equipment;1.0
Sweets;Fondants [confectionery];1.0
Cards;Index cards [stationery];1.0
Bags;Cosmetic bags sold empty;1.0
Bags;Handbags made of leather;1.0
Beds;Cots for use by children;1.0
Preparation and provision of food and drink for immediate consumption;Food and drink catering;1.0
Consultancy and support in the field of industrial property rights;Licensing of trademarks;1.0
Security services for the protection of property and individuals;Security guard services;1.0
Streaming of audio content via a global computer network;Television broadcasting;1.0
Communication services for video conferencing purposes;Communications services;1.0
Psychological testing for the selection of personnel;Business administration;1.0
Physical exercise apparatus for medical purposes;Body-building apparatus;1.0
Chemical preparations for veterinary purposes;Veterinary preparations;1.0
Dietetic substances adapted for medical use;Nutritional supplements;1.0
Enzyme preparations for veterinary purposes;Veterinary preparations;1.0
Business consultancy and advisory services;Business administration;1.0
Sanitary preparations for medical purposes;Panty liners [sanitary];1.0
Apparatus for the reproduction of images;Cinematographic cameras;1.0
Apparatus for the transmission of images;Cinematographic cameras;1.0
Kitchen utensils, not of precious metal;Ladles for serving wine;1.0
Skin treatment [medicated] for animals;Veterinary preparations;1.0
Services for providing food and drink;Bar and lounge services;1.0
Services for providing food and drink;Cocktail lounge buffets;1.0
Services for providing food and drink;Food and drink catering;1.0
Services for providing food and drink;Selfservice restaurants;1.0
Services for providing food and drink;Services of restaurants;1.0
Services for providing food and drink;Serving food and drinks;1.0
Textiles and substitutes for textiles;Fabrics for textile use;1.0
Not metallic transportable buildings;Buildings, not of metal;1.0
Parts and fittings for land vehicles;Fuel lines for vehicles;1.0
Non-alcoholic honey-based beverages;Non-alcoholic beverages;1.0
Providing food and drink for guests;Serving food and drinks;1.0
Handoperated professional choppers;Hand tools handoperated;1.0
Alcoholic beverages (except beer);Alcoholic energy drinks;1.0
Alcoholic beverages (except beer);Natural sparkling wines;1.0
Professional business consultancy;Business administration;1.0
Rental of temporary accommodation;Temporary accommodation;1.0
Rental of transportable buildings;Temporary accommodation;1.0
Hair preparations and treatments;Hair protection lotions;1.0
Personnel management consultancy;Business administration;1.0
Aloe vera drinks, non-alcoholic;Non-alcoholic beverages;1.0
Enzymes for veterinary purposes;Veterinary preparations;1.0
Greases for veterinary purposes;Veterinary preparations;1.0
Holiday camp services [lodging];Temporary accommodation;1.0
Lotions for veterinary purposes;Veterinary preparations;1.0
Parts and fittings for vehicles;Vehicle shock absorbers;1.0
Providing campground facilities;Temporary accommodation;1.0
Apparatus for recording images;Cinematographic cameras;1.0
Kvass [non-alcoholic beverage];Non-alcoholic beverages;1.0
Preparations made from cereals;Pies [sweet or savoury];1.0
Human hygiene and beauty care;Eyebrow dyeing services;1.0
Locks and hardware of metal;Door fasteners of metal;1.0
Provision of food and drink;Food and drink catering;1.0
Telecommunication services;Communications services;1.0
Telecommunication services;Providing online forums;1.0
Telecommunication services;Television broadcasting;1.0
Apparatus for ventilating;Air purifying apparatus;1.0
Data processing apparatus;Electronic card readers;1.0
Human healthcare services;Lymphodrainage services;1.0
Human healthcare services;Pharmaceutical services;1.0
Human healthcare services;Physical rehabilitation;1.0
Cocktails, non-alcoholic;Non-alcoholic beverages;1.0
Publishing and reporting;Publication of booklets;1.0
Publishing and reporting;Publication of leaflets;1.0
Publishing and reporting;Publishing of documents;1.0
Accommodation of guests;Temporary accommodation;1.0
Boarding house bookings;Temporary accommodation;1.0
Manually operated tools;Handoperated implements;1.0
Serving food and drinks;Food and drink catering;1.0
Serving food and drinks;Hotel catering services;1.0
Entertainment services;Amusement park services;1.0
Cameras [photography];Cinematographic cameras;1.0
Fish-based foodstuffs;Sea salmon roe for food;1.0
Youth hostel services;Temporary accommodation;1.0
Articles for smokers;Rolls of rolling papers;1.0
Cider, non-alcoholic;Non-alcoholic beverages;1.0
Industrial chemicals;Bate for dressing skins;1.0
Insulating materials;Soundproofing materials;1.0
Sherbets [beverages];Non-alcoholic beverages;1.0
Investment services;Stock exchange services;1.0
Payroll preparation;Business administration;1.0
Printed periodicals;Magazines [periodicals];1.0
Real estate affairs;Real estate consultancy;1.0
Restaurant services;Food and drink catering;1.0
Restaurant services;Hotel catering services;1.0
Restaurant services;Serving food and drinks;1.0
Sauces [condiments];Mayonnaise with pickles;1.0
Isotonic beverages;Non-alcoholic beverages;1.0
Lighting apparatus;Electric holiday lights;1.0
Non-alcoholic beer;Non-alcoholic beverages;1.0
Travel arrangement;Escorting of travellers;1.0
Travel arrangement;Travel booking agencies;1.0
Computer software;Servers for web hosting;1.0
Finance services;Charitable fund raising;1.0
Finance services;Hire-purchase financing;1.0
Finance services;Investing in securities;1.0
Finance services;Provident fund services;1.0
Medical services;Medical clinic services;1.0
Rental of tents;Temporary accommodation;1.0
Tax preparation;Business administration;1.0
Wound dressings;Materials for dressings;1.0
Caf̩ services;Food and drink catering;1.0
Fish, not live;Common plaice, not live;1.0
Fish, not live;Crucian carps, not live;1.0
Hotel services;Rental of meeting rooms;1.0
Printed matter;Graphic representations;1.0
Whey beverages;Non-alcoholic beverages;1.0
Advertising;Direct mail advertising;1.0
Advertising;Distribution of samples;1.0
Advertising;Product launch services;1.0
Dentifrices;Tooth care preparations;1.0
Ginger beer;Non-alcoholic beverages;1.0
Flat irons;Non-electric flat irons;1.0
Cosmetics;Aftersun oils cosmetics;1.0
Cosmetics;Cosmetic facial lotions;1.0
Cosmetics;Depilatory preparations;1.0
Cosmetics;Non-medicated bath oils;1.0
Furniture;Beds for small children;1.0
Lemonades;Non-alcoholic beverages;1.0
Olive oil;Vegetable oils for food;1.0
Chai tea;Non-alcoholic beverages;1.0
Clothing;Bandanas [neckerchiefs];1.0
Clothing;Clothing for gymnastics;1.0
Clothing;Combinations [clothing];1.0
Clothing;Corsets [underclothing];1.0
Clothing;Jogging sets [clothing];1.0
Clothing;Knee warmers [clothing];1.0
Clothing;Motorcycle riding suits;1.0
Clothing;Teddies [underclothing];1.0
Footwear;Footwear not for sports;1.0
Footwear;Sandals and beach shoes;1.0
Teaching;Bookkeeping instruction;1.0
Teaching;Educational instruction;1.0
Coffee;Roasted coffee granules;1.0
Linens;Coverings for furniture;1.0
Waters;Non-alcoholic beverages;1.0
Broth;Mixes for making broths;1.0
Dolls;Collectable toy figures;1.0
Games;Computer game apparatus;1.0
Tyres;Rubber treads for tires;1.0
Lens;Glass ophthalmic lenses;1.0
Soap;Liquid soap for laundry;1.0
Wine;Natural sparkling wines;1.0
Colour-brightening chemicals for household purposes [laundry];Bleaching preparations;1.0
Streaming of audio content via a global computer network;Satellite transmission;1.0
Horological and chronometric apparatus and instruments;Chronographs [watches];1.0
Monitoring apparatus, other than for medical purposes;Monitoring instruments;1.0
Arranging, conducting and organisation of workshops;Arranging of workshops;1.0
Alloys of precious metals for dental purposes;Teeth filling material;1.0
Film production, other than advertising films;Entertainment services;1.0
Music publishing and music recording services;Entertainment services;1.0
Production of radio and television programmes;Entertainment services;1.0
Gaming services for entertainment purposes;Entertainment services;1.0
Rental of movie projectors and accessories;Entertainment services;1.0
Horological and chronometric instruments;Chronographs [watches];1.0
Services for providing food and drink;Contract food services;1.0
Electronic data processing equipment;Portable media players;1.0
Sun-tanning preparations [cosmetics];Skin care preparations;1.0
Measuring apparatus and instruments;Temperature indicators;1.0
Presentation of circus performances;Entertainment services;1.0
Cleansing milk for toilet purposes;Skin care preparations;1.0
Astringents for cosmetic purposes;Skin care preparations;1.0
Optical apparatus and instruments;Anti-dazzle spectacles;1.0
Accident insurance underwriting;Insurance underwriting;1.0
Preparations made from cereals;Senbei [rice crackers];1.0
Handoperated knife sharpeners;Sharpening instruments;1.0
Health insurance underwriting;Insurance underwriting;1.0
Marine insurance underwriting;Insurance underwriting;1.0
Talcum powder, for toilet use;Skin care preparations;1.0
Varnish-removing preparations;Nail care preparations;1.0
Fire insurance underwriting;Insurance underwriting;1.0
Life insurance underwriting;Insurance underwriting;1.0
Pharmaceutical preparations;Medicated skin lotions;1.0
Telecommunication services;Communication by radio;1.0
Television show production;Entertainment services;1.0
Alum stones [astringents];Skin care preparations;1.0
Human healthcare services;Dental clinic services;1.0
Human healthcare services;Health centre services;1.0
Human healthcare services;Health clinic services;1.0
Human healthcare services;Light therapy services;1.0
Human healthcare services;Monitoring of patients;1.0
Human healthcare services;Treatment of allergies;1.0
Recording studio services;Entertainment services;1.0
Rental of audio equipment;Entertainment services;1.0
Publishing and reporting;Publication of manuals;1.0
Publishing and reporting;Publication of posters;1.0
Publishing and reporting;Publishing of journals;1.0
Manually operated tools;Expanders [hand tools];1.0
Materials for dressings;Bandages for dressings;1.0
Entertainment services;Recreation information;1.0
Games equipment rental;Entertainment services;1.0
Nonalcoholic beverages;Aperitifs nonalcoholic;1.0
Patent lawyer services;Legal support services;1.0
Rental of show scenery;Entertainment services;1.0
Sunscreen preparations;Skin care preparations;1.0
Cosmetic preparations;Nail care preparations;1.0
Fish-based foodstuffs;Sea trout roe for food;1.0
Insurance consultancy;Insurance underwriting;1.0
Movie studio services;Entertainment services;1.0
Skin whitening creams;Skin care preparations;1.0
Apparatus for drying;Electrical hair driers;1.0
Cinema presentations;Entertainment services;1.0
Computer programming;Computer system design;1.0
Disc jockey services;Entertainment services;1.0
Home repair services;Renovation of property;1.0
Frameworks of metal;Platforms of aluminium;1.0
Marketing campaigns;Television advertising;1.0
Production of music;Entertainment services;1.0
Radio entertainment;Entertainment services;1.0
Electrified fences;Access control devices;1.0
Lighting apparatus;Lighting installations;1.0
Lighting apparatus;Luminous house numbers;1.0
Orchestra services;Entertainment services;1.0
Recording services;Entertainment services;1.0
Artificial coffee;Substitutes for coffee;1.0
Data transmission;Facsimile transmission;1.0
Finance services;Financial guardianship;1.0
Finance services;Trade finance services;1.0
Investment funds;Real estate investment;1.0
Medical services;Health clinic services;1.0
Bleaching salts;Bleaching preparations;1.0
Laundry blueing;Bleaching preparations;1.0
Locks, electric;Access control devices;1.0
Bleaching soda;Bleaching preparations;1.0
Fish, not live;Silver carps, not live;1.0
Laundry bleach;Bleaching preparations;1.0
Energy drinks;Nonalcoholic beverages;1.0
Ethereal oils;Aromatics for perfumes;1.0
Milk products;Creamers for beverages;1.0
Chronographs;Chronographs [watches];1.0
Toothbrushes;Toothbrushes, electric;1.0
Wristwatches;Chronographs [watches];1.0
Advertising;Demonstration of goods;1.0
Advertising;Telemarketing services;1.0
Advertising;Television advertising;1.0
Dentifrices;Moistened tooth powder;1.0
Dentifrices;Teeth cleaning lotions;1.0
Dentifrices;Tooth whitening creams;1.0
Dentifrices;Tooth whitening pastes;1.0
Fertilizers;Activators [chemicals];1.0
Shoe polish;Polishing preparations;1.0
Detergents;Bleaching preparations;1.0
Cosmetics;After sun moisturisers;1.0
Cosmetics;Make-up removing milks;1.0
Cosmetics;Nail care preparations;1.0
Cosmetics;Skin care preparations;1.0
Cosmetics;Skin masks [cosmetics];1.0
Cosmetics;Soaps for personal use;1.0
Cosmetics;Sunscreen preparations;1.0
Furniture;High chairs for babies;1.0
Jewellery;Lapel pins [jewellery];1.0
Perfumery;Perfumed toilet waters;1.0
Clothing;Arm warmers [clothing];1.0
Clothing;Boy shorts [underwear];1.0
Clothing;Clothing for fishermen;1.0
Clothing;Handwarmers [clothing];1.0
Clothing;Leggings [leg warmers];1.0
Clothing;Mock turtleneck shirts;1.0
Clothing;Money belts [clothing];1.0
Clothing;Outerclothing for boys;1.0
Clothing;Short-sleeved T-shirts;1.0
Coatings;Lacquers and varnishes;1.0
Footwear;Boots for motorcycling;1.0
Perfumes;Perfumed toilet waters;1.0
Saddlery;Fastenings for saddles;1.0
Teaching;Correspondence courses;1.0
Training;Correspondence courses;1.0
Clocks;Horological instrument;1.0
Boots;Boots for motorcycling;1.0
Lamps;Lights for automobiles;1.0
Soap;Soaps for personal use;1.0
Toys;Building blocks [toys];1.0
Detergents, other than for use in manufacturing operations and for medical purposes;Cleaning preparations;1.0
Degreasers, other than for use in manufacturing processes;Cleaning preparations;1.0
Organization of competitions [education or entertainment];Arranging of contests;1.0
Canned pressurized air for cleaning and dusting purposes;Cleaning preparations;1.0
Streaming of audio content via a global computer network;Wireless broadcasting;1.0
Cloths impregnated with a detergent for cleaning;Cleaning preparations;1.0
Antistatic preparations for household purposes;Cleaning preparations;1.0
Measuring instruments adapted for medical use;Clinical thermometers;1.0
Services for the construction of buildings;Construction services;1.0
Ammonia [volatile alkali] [detergent];Cleaning preparations;1.0
Services for providing food and drink;Delicatessen services;1.0
Alcoholic beverages (except beer);Sparkling white wines;1.0
Financial planning and management;Financial consultancy;1.0
Jewellery and imitation jewellery;Necklaces [jewellery];1.0
Mouthwashes for medical purposes;Medicated dentifrices;1.0
Oil of turpentine for degreasing;Cleaning preparations;1.0
Door stops of metal and windows;Window stops of metal;1.0
Wallpaper cleaning preparations;Cleaning preparations;1.0
Herbicide for agricultural use;Biological herbicides;1.0
Preparations made from cereals;Extruded wheat snacks;1.0
Articles for use with tobacco;Electronic cigarettes;1.0
Human hygiene and beauty care;Beauty salon services;1.0
Human hygiene and beauty care;Cosmetic electrolysis;1.0
Hair treatment preparations;Cosmetics for animals;1.0
Home construction services;Construction services;1.0
Oils for cleaning purposes;Cleaning preparations;1.0
Telecommunication services;Broadcasting services;1.0
Acidimeters for batteries;Measuring instruments;1.0
Dry-cleaning preparations;Cleaning preparations;1.0
Human healthcare services;Aromatherapy services;1.0
Human healthcare services;Foot massage services;1.0
Human healthcare services;Health hydro services;1.0
Human healthcare services;Nursing home services;1.0
Human healthcare services;Nutrition consultancy;1.0
Human healthcare services;Pharmaceutical advice;1.0
Human healthcare services;Therapeutical pilates;1.0
Nonalcoholic fruit drinks;Fruit juice beverages;1.0
Oral hygiene preparations;Dental bleaching gels;1.0
Turpentine for degreasing;Cleaning preparations;1.0
Volcanic ash for cleaning;Cleaning preparations;1.0
Concentrated fruit juice;Fruit juice beverages;1.0
Fruit juice concentrates;Fruit juice beverages;1.0
Publishing and reporting;Issue of publications;1.0
Publishing and reporting;Newspaper publication;1.0
Publishing and reporting;Publishing of reviews;1.0
Television entertainment;Television production;1.0
Business administration;Personnel recruitment;1.0
Hand tools handoperated;Spanners [hand tools];1.0
Non-alcoholic beverages;Fruit juice beverages;1.0
Temporary accommodation;Resort hotel services;1.0
Air analysis apparatus;Measuring instruments;1.0
Entertainment services;Musical entertainment;1.0
Entertainment services;Organisation of shows;1.0
Entertainment services;Organization of balls;1.0
Portable media players;Audiovisual apparatus;1.0
Apertometers [optics];Measuring instruments;1.0
Deposits of valuables;Safe deposit services;1.0
Fish-based foodstuffs;Boiled and dried fish;1.0
Edible oils and fats;Cocoa butter for food;1.0
Projection apparatus;Audiovisual apparatus;1.0
Television apparatus;Audiovisual apparatus;1.0
Debit card services;Payment card services;1.0
Investment services;Financial consultancy;1.0
Investment services;Investment management;1.0
Financing services;Financial sponsorship;1.0
Financing services;Payment card services;1.0
Insurance services;Insurance information;1.0
Lighting apparatus;Bicycle dynamo lights;1.0
Lighting apparatus;Electric fairy lights;1.0
Lighting apparatus;Electric night lights;1.0
Lighting apparatus;Lamps for outdoor use;1.0
Lighting apparatus;Lanterns for lighting;1.0
Lighting apparatus;LED lighting fixtures;1.0
Projection screens;Audiovisual apparatus;1.0
Transport services;Distribution services;1.0
Clerical services;Document reproduction;1.0
Clerical services;Photocopying services;1.0
Computer software;Digital audio servers;1.0
Computer software;Digital video servers;1.0
Vegetables, dried;Vegetables, processed;1.0
Acid hydrometers;Measuring instruments;1.0
Finance services;Direct debit services;1.0
Finance services;Financial consultancy;1.0
Finance services;Financial engineering;1.0
Finance services;Financial forecasting;1.0
Finance services;Financial information;1.0
Finance services;Investment management;1.0
Finance services;Payment card services;1.0
Finance services;Real estate financing;1.0
Paper stationery;Stickers [stationery];1.0
Spectacle frames;Frames for sunglasses;1.0
Fish, preserved;Bottled fish products;1.0
Fish, preserved;Tuna fish [preserved];1.0
Video recorders;Audiovisual apparatus;1.0
Wearing apparel;Trousers for children;1.0
Cleaning chalk;Cleaning preparations;1.0
Fish, not live;Sea basses [not live];1.0
Fruit squashes;Fruit juice beverages;1.0
Vehicle rental;Rental of motor homes;1.0
Walking sticks;Mountaineering sticks;1.0
Water treating;Waste water treatment;1.0
Alcoholmeters;Measuring instruments;1.0
Javelle water;Cleaning preparations;1.0
Potato crisps;Vegetables, processed;1.0
Video screens;Audiovisual apparatus;1.0
Actinometers;Measuring instruments;1.0
Animal skins;Leather for furniture;1.0
Fruit drinks;Fruit juice beverages;1.0
Orange juice;Fruit juice beverages;1.0
Toothbrushes;Toothbrushes for pets;1.0
Advertising;Online advertisements;1.0
Advertising;Promotional marketing;1.0
Anemometers;Measuring instruments;1.0
Cigar boxes;Containers for cigars;1.0
Dentifrices;Dental bleaching gels;1.0
Fertilizers;Biological activators;1.0
Grape juice;Fruit juice beverages;1.0
Aerometers;Measuring instruments;1.0
Altimeters;Measuring instruments;1.0
Barometers;Measuring instruments;1.0
Hair spray;Cosmetic preparations;1.0
Lubricants;Automobile lubricants;1.0
Stationery;Educational equipment;1.0
Stationery;Stickers [stationery];1.0
Toothpaste;Dental bleaching gels;1.0
Cosmetics;Cosmetic moisturisers;1.0
Cosmetics;Cosmetics for animals;1.0
Cosmetics;Facial cleansing milk;1.0
Cosmetics;Nail varnish removers;1.0
Cosmetics;Skin whitening creams;1.0
Jewellery;Necklaces [jewellery];1.0
Alidades;Measuring instruments;1.0
Ammeters;Measuring instruments;1.0
Clothing;Bathing suits for men;1.0
Clothing;Gabardines [clothing];1.0
Clothing;Long sleeve pullovers;1.0
Clothing;Martial arts uniforms;1.0
Clothing;Paper hats [clothing];1.0
Clothing;Roll necks [clothing];1.0
Clothing;Short sets [clothing];1.0
Clothing;Slips [underclothing];1.0
Clothing;Weatherproof clothing;1.0
Headgear;Sun visors [headwear];1.0
Sweaters;Roll necks [clothing];1.0
Teaching;Academies [education];1.0
Teaching;Conducting of classes;1.0
Juices;Fruit juice beverages;1.0
Sauces;Fruit coulis [sauces];1.0
Bags;Textile shopping bags;1.0
Lens;Lenses for sunglasses;1.0
Soap;Cleaning preparations;1.0
Toys;Pet toys made of rope;1.0
Wine;Sparkling white wines;1.0
Scientific services and design relating thereto;Engineering services;1.0
Traffic-light apparatus [signalling devices];Signalling apparatus;1.0
Apparatus for the reproduction of images;Digital photo frames;1.0
Horological and chronometric instruments;Horological articles;1.0
Services for providing food and drink;Beer garden services;1.0
Services for providing food and drink;Preparation of meals;1.0
Vehicle breakdown warning triangles;Signalling apparatus;1.0
Road signs, luminous or mechanical;Signalling apparatus;1.0
Alcoholic beverages (except beer);Low alcoholic drinks;1.0
Alcoholic beverages (except beer);Sparkling fruit wine;1.0
Alcoholic beverages (except beer);Sparkling grape wine;1.0
Creating and maintaining websites;Computer programming;1.0
Financial planning and management;Financial management;1.0
Starch glaze for laundry purposes;Laundry preparations;1.0
Building materials, not of metal;Floors, not of metal;1.0
Dental apparatus and instruments;Mirrors for dentists;1.0
Fabric softeners for laundry use;Laundry preparations;1.0
Rental of offices [real estate];Real estate services;1.0
Articles for use with tobacco;Lighters for smokers;1.0
Human hygiene and beauty care;Depilatory treatment;1.0
Human hygiene and beauty care;Liposuction services;1.0
Other non-alcoholic beverages;Sherbets [beverages];1.0
Laundry soaking preparations;Laundry preparations;1.0
Soap for brightening textile;Laundry preparations;1.0
Pharmaceutical preparations;Medical preparations;1.0
Syrups for making beverages;Syrups for beverages;1.0
Apartment house management;Real estate services;1.0
Fog signals, non-explosive;Signalling apparatus;1.0
Telecommunication services;Electronic messaging;1.0
Telecommunication services;E-mail data services;1.0
Telecommunication services;Radio communications;1.0
Telecommunication services;Rental of telephones;1.0
Washing soda, for cleaning;Laundry preparations;1.0
Human healthcare services;Anti-smoking therapy;1.0
Human healthcare services;Cryotherapy services;1.0
Human healthcare services;Dental consultations;1.0
Human healthcare services;Nutrition counseling;1.0
Human healthcare services;Orthodontic services;1.0
Quillaia bark for washing;Laundry preparations;1.0
Publishing and reporting;Publication of books;1.0
Publishing and reporting;Publication of texts;1.0
Business administration;Personnel management;1.0
Hand tools handoperated;Diggers [hand tools];1.0
Hand tools handoperated;Hammers [hand tools];1.0
Hand tools handoperated;Punches [hand tools];1.0
Magazines [periodicals];Printed publications;1.0
Serving food and drinks;Preparation of meals;1.0
Entertainment services;Discotheque services;1.0
Real estate management;Real estate services;1.0
Real estate appraisal;Real estate services;1.0
Vegetables, processed;Preserved vegetables;1.0
Articles for smokers;Lighters for smokers;1.0
Computer programming;Software development;1.0
Drying installations;Apparatus for drying;1.0
Industrial chemicals;Brazing preparations;1.0
Industrial chemicals;Fulling preparations;1.0
Industrial chemicals;Rubber preservatives;1.0
Industrial chemicals;Unprocessed plastics;1.0
Software development;Engineering services;1.0
Business consulting;Business information;1.0
Business management;Business information;1.0
Business management;Economic forecasting;1.0
Electric door bells;Signalling apparatus;1.0
Frameworks of metal;Scaffolding of metal;1.0
Investment services;Financial investment;1.0
Investment services;Financial management;1.0
Investment services;Securities brokerage;1.0
Magnetic data media;Data storage devices;1.0
Sauces [condiments];Imitation mayonnaise;1.0
Vitamin supplements;Vitamin preparations;1.0
Lighting apparatus;LED landscape lights;1.0
Vegetables, cooked;Preserved vegetables;1.0
Antique appraisal;Financial evaluation;1.0
Beacons, luminous;Signalling apparatus;1.0
Clerical services;Secretarial services;1.0
Frozen vegetables;Preserved vegetables;1.0
Vegetables, dried;Preserved vegetables;1.0
Finance services;Financial management;1.0
Mechanical signs;Signalling apparatus;1.0
Medical services;Veterinary dentistry;1.0
Bleaching salts;Laundry preparations;1.0
Design services;Software development;1.0
Laundry blueing;Laundry preparations;1.0
Music magazines;Printed publications;1.0
Rent collection;Real estate services;1.0
Travelling bags;Bags made of leather;1.0
Bleaching soda;Laundry preparations;1.0
Fish, not live;Sweetfish [not live];1.0
Fish, not live;Tuna fish [not live];1.0
Laundry bleach;Laundry preparations;1.0
Legal services;Arbitration services;1.0
Printed guides;Printed publications;1.0
Printed matter;Printed publications;1.0
Rice all types;Frozen prepared rice;1.0
Rice all types;Wild rice [prepared];1.0
Stain removers;Laundry preparations;1.0
Vehicle rental;Booking of hire cars;1.0
Vehicle rental;Motor vehicle rental;1.0
Whistle alarms;Signalling apparatus;1.0
Laundry glaze;Laundry preparations;1.0
Marking buoys;Signalling apparatus;1.0
Bakery goods;Petits fours [cakes];1.0
Bookbindings;Bookbinding material;1.0
Dog whistles;Signalling apparatus;1.0
Advertising;Marketing consulting;1.0
Advertising;Shop window dressing;1.0
Dentifrices;Chewable dentifrices;1.0
Laundry wax;Laundry preparations;1.0
Leisurewear;Headbands [clothing];1.0
Leisurewear;Kerchiefs [clothing];1.0
Catalogues;Printed publications;1.0
Stationery;Folders [stationery];1.0
Brokerage;Real estate services;1.0
Cosmetics;Cosmetic eye pencils;1.0
Cosmetics;Cosmetic hand creams;1.0
Cosmetics;Henna [cosmetic dye];1.0
Cosmetics;Make-up for the face;1.0
Cosmetics;Make-up preparations;1.0
Cosmetics;Shaving preparations;1.0
Jewellery;Brooches [jewellery];1.0
Jewellery;Cloisonn̩ jewellery;1.0
Transport;Railway truck rental;1.0
Clothing;Functional underwear;1.0
Clothing;Playsuits [clothing];1.0
Clothing;Polar fleece jackets;1.0
Clothing;Slipovers [clothing];1.0
Footwear;Mountaineering boots;1.0
Perfumes;Household fragrances;1.0
Teaching;Arranging of classes;1.0
Brushes;Brushes for cleaning;1.0
Buzzers;Signalling apparatus;1.0
Storage;Parking place rental;1.0
Cards;Stationery postcards;1.0
Dolls;European style dolls;1.0
Soap;Cakes of toilet soap;1.0
Soap;Laundry preparations;1.0
Soap;Soaps in liquid form;1.0
Toys;Scale model vehicles;1.0
Toys;Spinning tops [toys];1.0
Collection of information relating to market research;Business management;1.0
Human resources management and consultancy services;Personnel placement;1.0
Business management and organization consultancy;Business management;1.0
Production of radio and television programmes;Production of shows;1.0
